Date,Open,High,Low,Close
10/27/2025,"30,315.62","30,386.62","30,087.48","30,275.76"
10/24/2025,"30,248.69","30,411.32","30,248.69","30,353.07"
10/23/2025,"30,097.49","30,266.54","30,094.92","30,186.28"
10/22/2025,"29,818.20","30,036.85","29,802.49","29,982.98"
10/21/2025,"30,214.14","30,214.14","29,837.55","29,888.82"
10/20/2025,"30,265.39","30,439.06","30,265.39","30,416.44"
10/17/2025,"30,338.77","30,338.77","30,008.00","30,108.48"
10/16/2025,"30,749.68","30,790.61","30,374.95","30,458.80"
10/15/2025,"30,493.14","30,808.10","30,470.75","30,637.12"
10/14/2025,"29,907.89","30,478.01","29,907.89","30,353.61"
10/10/2025,"30,324.16","30,358.74","29,842.01","29,850.89"
10/09/2025,"30,545.03","30,550.18","30,165.02","30,269.98"
10/08/2025,"30,492.20","30,521.01","30,365.80","30,501.99"
10/07/2025,"30,571.13","30,612.13","30,278.19","30,351.72"
10/06/2025,"30,635.91","30,686.96","30,479.09","30,531.88"
10/03/2025,"30,205.05","30,490.04","30,205.05","30,471.68"
10/02/2025,"30,172.84","30,183.11","29,903.08","30,160.59"
10/01/2025,"30,006.44","30,182.57","30,006.44","30,107.67"
09/30/2025,"29,930.71","30,049.81","29,837.25","30,022.81"
09/29/2025,"29,856.51","29,980.48","29,856.51","29,971.91"
